Protein,Median,StDev
T1029,2.47078415645127,0.02785723134307027
T1027,2.4213285373886406,0.025365956629538475
T1030,2.4266257176208867,0.0201057571014966
T1032,2.3901086147624135,0.030214274218541167
T1040,2.3263792645018913,0.018653824892027684
T1099,2.33914406970367,0.01881606010526178
T1039,2.3486714764541885,0.005593025447322912
T1073,2.3486714764541885,0.002132880683560057
T1043,2.365180365264,0.019465352016742987
T1080,2.316210545262848,0.026859741182278768
T1050,2.268621122979643,0.010021154534039881
T1038,2.2618834187184196,0.0060000952399431855
T1033,2.216677095176919,0.03454389732824119
T1031,2.1618470562505294,0.008451183585337656
T1042,2.1714932516445207,0.012301544036003116
T1067,2.157682714405793,0.011158209968317357
T1090,2.1322109326981344,0.013155382954145443
T1041,2.0675419418653753,0.024761741555187785
T1037,2.0541162400775397,0.012296783438637347
T1074,2.0260652838141313,0.01867426967136465
T1079,2.003399227140644,0.003893349688554787
T1054,2.008010858862291,0.004876527458602893
T1049,1.9777644138641963,0.01992511962959098
T1026,1.9500646810656415,0.0010383099383746226
T1082,1.9507567955443927,0.0035044223486975262
T1046s2,1.9028664480885134,0.022522805281933827
T1035,1.8804937643227055,0.008979083817248804
T1046s1,1.8608340200938889,0.006739885287209545
T1056,1.8378450043458265,0.005993554492242571
