Protein,Median,StDev
T1029,18.99620917115412,0.11156447434371652
T1027,14.241683691461166,1.5824502323961844
T1030,14.778092034329607,1.1184756947471335
T1032,12.935986765267657,1.0314881946819712
T1040,10.766383588398044,0.6814634141432799
T1099,10.173073421263938,0.07025841706922868
T1039,10.686189732548888,0.3915274476510621
T1073,10.640328745501778,0.1774580451285618
T1043,10.473890288293191,0.029647880245558037
T1080,9.614913132903503,0.5189652088257873
T1050,8.627383251405423,0.18200619835233126
T1038,8.659341519856781,0.07675346889949025
T1033,8.326975278611988,0.09923097969399623
T1031,8.295610291123978,0.054548348064975265
T1042,8.935300680927995,0.21831528948879658
T1067,8.741200079652149,0.21267473049381602
T1090,8.11477960963593,0.3162922303534396
T1041,7.162138257334045,0.32204786297512006
T1037,7.250652448705617,0.23166942555219253
T1074,6.941521356809503,0.26634614029295295
T1079,7.060213023108833,0.14420070802219703
T1054,7.060213023108833,0.027704942836288812
T1049,7.2460692997910225,0.07711330229167876
T1026,7.149428364627958,0.06110981441649181
T1082,7.194372126306044,0.06546347022062425
T1046s2,6.82511039774516,0.22674771669902521
T1035,6.4798581925171375,0.04401730754290677
T1046s1,6.467041933284682,0.012337814311503978
T1056,6.0989170681455365,0.15123477928136847
