Protein,1-2,1-3,2-3
T1029,5.960976756470881,5.904878200375817,5.871487968232492
T1027,5.699434172377893,5.501277352136721,5.37977264689101
T1030,5.4305174463375945,5.464334060401489,5.467841363612523
T1032,5.398157686425957,5.294744189226908,5.196364494683305
T1040,5.1065004619078795,4.998102849475087,4.927583783415789
T1099,4.882237831572718,4.884898717855338,4.856629810894834
T1039,4.884898717855338,4.934801374478287,4.938668069970872
T1073,4.804924217248066,4.661320100870316,4.541497710996211
T1043,4.457497836377703,4.368578083649414,4.259720445383769
T1080,4.197567493562138,4.153502296745943,4.076929922495031
T1050,4.0611684618275525,3.9986729456448966,3.946776154034619
T1038,3.9786013675760246,4.0275487227919875,4.0275487227919875
T1033,3.947389891311148,3.932256633266414,3.9054142155483924
T1031,3.888743154877837,3.846422930279983,3.8271339106842763
T1042,3.8195928973928286,3.7985898459841647,3.7901238372757793
T1067,3.747549949688827,3.726230984256955,3.7096933979501676
T1090,3.6564626955429946,3.611390874888229,3.546249491997914
T1041,3.4795960870887486,3.408135492266502,3.3808267592423826
T1037,3.388151429670851,3.4009187687888733,3.4009187687888733
T1074,3.360515924205835,3.3226567751204894,3.2938362193367015
T1079,3.280517624359398,3.250503621876627,3.2217858736677623
T1054,3.1464596916933267,3.1148900843257734,3.0808043114470003
T1049,3.073569043132519,3.0653623434609734,3.062709834614415
T1026,3.027511319275357,2.9776600025106896,2.959832199293891
T1082,2.928760537540819,2.895379395186749,2.872052477010271
T1046s2,2.8309344172326116,2.7975339934474506,2.7531624641043106
T1035,2.724212261568076,2.7072045001059215,2.690081116424364
T1046s1,2.6652987276479263,2.6588647564778913,2.6419743475338446
T1056,2.5964592834451348,2.569972377954655,2.5294876886072384
