Protein,Distance Change [$\AA$],Comparison
"96.00
(T1082)",18.29423084649229,Exp-Af
"96.00
(T1082)",13.13710821605931,Exp-Af
"96.00
(T1082)",5.957634460578705,Exp-Af
"96.00
(T1082)",4.126675677983838,Exp-Af
"96.00
(T1082)",16.278316356392267,Exp-Af
"96.00
(T1082)",2.4350623941356284,Exp-Af
"96.00
(T1082)",11.357185589591287,Exp-Af
"96.00
(T1082)",3.1013634913712567,Exp-Af
"96.00
(T1082)",19.048681423625137,Exp-Af
"96.00
(T1082)",2.386359433730222,Exp-Af
"96.00
(T1082)",2.8112212559462817,Exp-Af
"96.00
(T1082)",9.787434133416443,Exp-Af
"96.00
(T1082)",2.3039341658177133,Exp-Af
"96.00
(T1082)",10.89212362780497,Exp-Af
"96.00
(T1082)",3.0715778094872954,Exp-Af
"96.00
(T1082)",4.527328956340742,Exp-Af
"96.00
(T1082)",9.0310739372238,Exp-Af
"96.00
(T1082)",0.10671289084451452,Exp-Af
"96.00
(T1082)",0.5816502561221295,Exp-Af
"96.00
(T1082)",0.9414551546282572,Exp-Af
"96.00
(T1082)",12.502870517392463,Exp-Af
"96.00
(T1082)",8.690256011085904,Exp-Af
"96.00
(T1082)",12.59291231738541,Exp-Af
"96.00
(T1082)",2.5573362220059668,Exp-Af
"96.00
(T1082)",5.6956473372714385,Exp-Af
"96.00
(T1082)",11.201433681830391,Exp-Af
"96.00
(T1082)",11.26450347905709,Exp-Af
"96.00
(T1082)",11.08471066154086,Exp-Af
"96.00
(T1082)",0.35313419815752933,Exp-Af
"96.00
(T1082)",6.02034503775383,Exp-Af
"96.00
(T1082)",6.797903532263877,Exp-Af
"96.00
(T1082)",0.9694361407434382,Exp-Af
"96.00
(T1082)",4.22419763193472,Exp-Af
"96.00
(T1082)",4.210579327403661,Exp-Af
"96.00
(T1082)",17.973167577001245,Exp-Af
"96.00
(T1082)",16.114256488178174,Exp-Af
"96.00
(T1082)",16.057537961282925,Exp-Af
"96.00
(T1082)",4.728332693114122,Exp-Af
"96.00
(T1082)",0.19308434160605703,Exp-Af
"96.00
(T1082)",10.319867148784404,Exp-Af
"96.00
(T1082)",2.945484036027233,Exp-Af
"96.00
(T1082)",4.998217673226805,Exp-Af
"96.00
(T1082)",6.554552021939132,Exp-Af
"96.00
(T1082)",7.149618875829022,Exp-Af
"96.00
(T1082)",14.516901754563063,Exp-Af
"96.00
(T1082)",13.751425710999943,Exp-Af
"96.00
(T1082)",8.48015665241191,Exp-Af
"96.00
(T1082)",9.477796083220376,Exp-Af
"96.00
(T1082)",10.783074231616599,Exp-Af
"96.00
(T1082)",6.993827346756669,Exp-Af
"96.00
(T1082)",6.1457140819958145,Exp-Af
"96.00
(T1082)",18.179240971654625,Exp-Af
"96.00
(T1082)",5.306734962453431,Exp-Af
"96.00
(T1082)",0.1047348768338292,Exp-Af
"96.00
(T1082)",18.349228130008882,Exp-Af
"96.00
(T1082)",13.123349327174374,Exp-Af
"96.00
(T1082)",5.896789295877682,Exp-Af
"96.00
(T1082)",4.141657946291907,Exp-Af
"96.00
(T1082)",16.4464533986264,Exp-Af
"96.00
(T1082)",4.959866249673961,Exp-Af
"96.00
(T1082)",18.189292670795403,Exp-Af
"96.00
(T1082)",3.2057451461279065,Exp-Af
"96.00
(T1082)",4.244697566800296,Exp-Af
"96.00
(T1082)",17.64956293243957,Exp-Af
"96.00
(T1082)",1.58441081583093,Exp-Af
"96.00
(T1082)",10.496362612243393,Exp-Af
"96.00
(T1082)",2.5789796317971616,Exp-Af
"96.00
(T1082)",11.314693722744046,Exp-Af
"96.00
(T1082)",0.8808572632902898,Exp-Af
"96.00
(T1082)",4.652533653683322,Exp-Af
"96.00
(T1082)",9.003693761153311,Exp-Af
"96.00
(T1082)",0.08481938660340216,Exp-Af
"96.00
(T1082)",0.6036221785225937,Exp-Af
"96.00
(T1082)",1.013165431172419,Exp-Af
"96.00
(T1082)",9.840310662876295,Exp-Af
"96.00
(T1082)",8.483685880935518,Exp-Af
"96.00
(T1082)",13.159465861709409,Exp-Af
"96.00
(T1082)",5.183545591738084,Exp-Af
"96.00
(T1082)",4.524580270267714,Exp-Af
"96.00
(T1082)",11.668130753596031,Exp-Af
"96.00
(T1082)",6.39186134059535,Exp-Af
"96.00
(T1082)",10.975099846634514,Exp-Af
"96.00
(T1082)",0.32041643362390637,Exp-Af
"96.00
(T1082)",6.0750530058259224,Exp-Af
"96.00
(T1082)",6.815909018136944,Exp-Af
"96.00
(T1082)",0.12100676701224433,Exp-Af
"96.00
(T1082)",17.321216915021143,Exp-Af
"96.00
(T1082)",4.478093490864226,Exp-Af
"96.00
(T1082)",17.935376257926634,Exp-Af
"96.00
(T1082)",3.181329684452442,Exp-Af
"96.00
(T1082)",11.998522184319224,Exp-Af
"96.00
(T1082)",10.234028670438537,Exp-Af
"96.00
(T1082)",0.12617832562163578,Exp-Af
"96.00
(T1082)",10.324444706753432,Exp-Af
"96.00
(T1082)",2.922790604240425,Exp-Af
"96.00
(T1082)",8.672254884363932,Exp-Af
"96.00
(T1082)",6.577484137639697,Exp-Af
"96.00
(T1082)",2.1012658293996562,Exp-Af
"96.00
(T1082)",7.271911872565298,Exp-Af
"96.00
(T1082)",8.68483992872217,Exp-Af
"96.00
(T1082)",8.819763512279719,Exp-Af
"96.00
(T1082)",9.520391930886152,Exp-Af
"96.00
(T1082)",10.203120626973174,Exp-Af
"96.00
(T1082)",7.382084667775741,Exp-Af
"96.00
(T1082)",2.019359688823311,Exp-Af
"96.00
(T1082)",18.03929841754575,Exp-Af
"96.00
(T1082)",6.274869537490168,Exp-Af
"96.00
(T1082)",9.927926698807976,Exp-Af
"96.00
(T1082)",18.263177200246854,Exp-Af
"96.00
(T1082)",13.076804451614017,Exp-Af
"96.00
(T1082)",5.898401449019563,Exp-Af
"96.00
(T1082)",4.20718187204421,Exp-Af
"96.00
(T1082)",16.36757833574932,Exp-Af
"96.00
(T1082)",2.455167736687174,Exp-Af
"96.00
(T1082)",11.631111399852287,Exp-Af
"96.00
(T1082)",3.2856874082107135,Exp-Af
"96.00
(T1082)",5.093408875690032,Exp-Af
"96.00
(T1082)",3.0866983013347906,Exp-Af
"96.00
(T1082)",2.6678279134372493,Exp-Af
"96.00
(T1082)",0.82835139084004,Exp-Af
"96.00
(T1082)",2.83166971987949,Exp-Af
"96.00
(T1082)",11.316700650161827,Exp-Af
"96.00
(T1082)",3.4606101365071087,Exp-Af
"96.00
(T1082)",4.191438375230778,Exp-Af
"96.00
(T1082)",17.77478596239269,Exp-Af
"96.00
(T1082)",0.11632089209245144,Exp-Af
"96.00
(T1082)",0.6280513635389129,Exp-Af
"96.00
(T1082)",0.965591408053529,Exp-Af
"96.00
(T1082)",12.513206278071802,Exp-Af
"96.00
(T1082)",8.254222864828517,Exp-Af
"96.00
(T1082)",12.252799257203472,Exp-Af
