Protein,Distance Change [$\AA$],Comparison
"96.00
(T1082)",11.702799468783626,Exp-Af
"96.00
(T1082)",10.212640735698916,Exp-Af
"96.00
(T1082)",0.09875409119198686,Exp-Af
"96.00
(T1082)",1.6813212467044565,Exp-Af
"96.00
(T1082)",12.354640897714864,Exp-Af
"96.00
(T1082)",1.343466603869655,Exp-Af
"96.00
(T1082)",12.773549018993423,Exp-Af
"96.00
(T1082)",0.7123836879845,Exp-Af
"96.00
(T1082)",0.845678837521326,Exp-Af
"96.00
(T1082)",1.2110218309667684,Exp-Af
"96.00
(T1082)",4.051659785976156,Exp-Af
"96.00
(T1082)",12.210817487757886,Exp-Af
"96.00
(T1082)",0.8530176599663082,Exp-Af
"96.00
(T1082)",9.720085979495579,Exp-Af
"96.00
(T1082)",10.427171003315376,Exp-Af
"96.00
(T1082)",11.2272740734332,Exp-Af
"96.00
(T1082)",13.52042509497209,Exp-Af
"96.00
(T1082)",10.269721842728243,Exp-Af
"96.00
(T1082)",19.567368006407264,Exp-Af
"96.00
(T1082)",6.239612285614625,Exp-Af
"96.00
(T1082)",0.32970938761185176,Exp-Af
"96.00
(T1082)",3.9476875381365844,Exp-Af
"96.00
(T1082)",9.807580458289955,Exp-Af
"96.00
(T1082)",17.737192741838193,Exp-Af
"96.00
(T1082)",4.100691116179689,Exp-Af
"96.00
(T1082)",0.11283590783046815,Exp-Af
"96.00
(T1082)",0.7535155730123817,Exp-Af
"96.00
(T1082)",17.522924275357585,Exp-Af
"96.00
(T1082)",1.1932630860533004,Exp-Af
"96.00
(T1082)",11.214679314875571,Exp-Af
"96.00
(T1082)",1.8161798939528015,Exp-Af
"96.00
(T1082)",12.374925442393216,Exp-Af
"96.00
(T1082)",0.31047236706920955,Exp-Af
"96.00
(T1082)",12.753621546938584,Exp-Af
"96.00
(T1082)",1.8803400068398135,Exp-Af
"96.00
(T1082)",9.272601127528677,Exp-Af
"96.00
(T1082)",12.506891168866469,Exp-Af
"96.00
(T1082)",1.818888074746626,Exp-Af
"96.00
(T1082)",3.8209602482727814,Exp-Af
"96.00
(T1082)",4.571289201648508,Exp-Af
"96.00
(T1082)",10.199004381340496,Exp-Af
"96.00
(T1082)",8.335774903575949,Exp-Af
"96.00
(T1082)",13.872657953032428,Exp-Af
"96.00
(T1082)",0.5658767724990525,Exp-Af
"96.00
(T1082)",12.854052690382058,Exp-Af
"96.00
(T1082)",14.834882463647805,Exp-Af
"96.00
(T1082)",14.17552540339003,Exp-Af
"96.00
(T1082)",16.35468549696958,Exp-Af
"96.00
(T1082)",10.555534723287787,Exp-Af
"96.00
(T1082)",9.715220350489684,Exp-Af
"96.00
(T1082)",9.634105830933404,Exp-Af
"96.00
(T1082)",2.970762203033866,Exp-Af
"96.00
(T1082)",10.170076489970509,Exp-Af
"96.00
(T1082)",12.735308196218377,Exp-Af
"96.00
(T1082)",0.9294176147196973,Exp-Af
"96.00
(T1082)",17.667193761658066,Exp-Af
"96.00
(T1082)",10.426806599014107,Exp-Af
"96.00
(T1082)",1.0522320287749425,Exp-Af
"96.00
(T1082)",12.818096938808832,Exp-Af
"96.00
(T1082)",7.053492371241032,Exp-Af
"96.00
(T1082)",15.591146686429543,Exp-Af
"96.00
(T1082)",6.179300377011433,Exp-Af
"96.00
(T1082)",15.065402169255336,Exp-Af
"96.00
(T1082)",4.07574676016345,Exp-Af
"96.00
(T1082)",0.7844757918215626,Exp-Af
"96.00
(T1082)",18.03597919602623,Exp-Af
"96.00
(T1082)",11.596069402398776,Exp-Af
"96.00
(T1082)",14.010808499480033,Exp-Af
"96.00
(T1082)",14.44597009683977,Exp-Af
"96.00
(T1082)",1.2545015837686542,Exp-Af
"96.00
(T1082)",9.619505906520127,Exp-Af
"96.00
(T1082)",14.326435519854233,Exp-Af
"96.00
(T1082)",0.4623658838833773,Exp-Af
"96.00
(T1082)",17.92027086651796,Exp-Af
"96.00
(T1082)",9.75146098548857,Exp-Af
"96.00
(T1082)",12.16766484927847,Exp-Af
