Protein,Median,StDev
T1029,0.10275631541754926,0.00010820322927525397
T1027,0.10281993861767802,7.908984815741988e-05
T1030,0.10356972902384198,0.00033217187743665423
T1032,0.1034797252021118,3.8918743722370096e-05
T1040,0.1032496371333318,3.191997357131331e-05
T1099,0.10345482032770015,0.00022838966157350484
T1039,0.10350662040038738,1.5527949964319893e-05
T1073,0.10303252520142214,0.00016991994369208242
T1043,0.10266908869840385,0.00015317760537000182
T1080,0.10303252520142214,0.0002691417550523885
T1050,0.10331028860279767,0.0002135783789916167
T1038,0.10363745321126228,1.907668494933982e-05
T1033,0.10298996136349237,0.00036083884364996113
T1031,0.10241257904509249,0.00023277898103015872
T1042,0.10233059399284494,4.7334091984646365e-05
T1067,0.10288356181780678,0.00029609917688326576
T1090,0.10319435011733002,0.00016264048554803123
T1041,0.10319435011733002,7.738724124879618e-05
T1037,0.10363745321126228,0.00012923240957629891
T1074,0.10394241656398417,0.00015610938943266125
T1079,0.10437783819361268,0.00027136673726315275
T1054,0.10402862251852785,0.00021880082003347876
T1049,0.10396878722714398,1.5816757781283458e-05
T1026,0.1035713696361178,0.00010402377152016327
T1082,0.10319435011733002,0.00010927182933809575
T1046s2,0.10288356181780678,0.00015311509515268326
T1035,0.10220436654741061,0.00020462547225960753
T1046s1,0.10222726069977295,0.0001824150201593094
T1056,0.1027263322024945,0.00019039202132901535
